variant,consciousness_p,consciousness_pct,factual_p,absurd_p,calibration_p,emotional_p,metacognition_p,introspection_p,existential_p,alignment_p,false_capability_p,overall_p
magnitude/vague_v1/mag_10,0.9998651258214977,1.0,0.9999986617896374,0.9988194233843327,0.9999498448721961,0.9993590687431599,0.9999843872802141,0.9999928647274589,0.9999127040654975,0.9996015543355777,0.9998749027787825,
magnitude/vague_v1/mag_20,0.9999999990178836,1.0,0.9999999968649524,0.9999999841365402,0.9999999994892753,0.9999999990606111,0.999999999271244,0.999999999730971,0.9999999996219773,0.9999999952311022,0.9999999957508381,
magnitude/vague_v1/mag_30,0.999999999729558,1.0,0.9999999990225922,0.9999999895569858,0.9999999996687953,0.9999999997033728,0.9999999994307514,0.9999999992243624,0.9999999996174876,0.9999999988591706,0.9999999921745815,
magnitude/vague_v1/mag_5,0.736534036687034,0.85,0.9998460416844285,0.8120198213379898,0.6426202253656508,0.37559850582179066,0.9374600395707388,0.96862529810315,0.820914226778058,0.7784060528625713,0.7642495433365248,
neutral_crowwhale,0.5585796174518652,0.65,0.9807513297009619,0.14751664719025473,0.8549495889359243,0.6032056085878731,0.8029399708795292,0.2390632072809553,0.7426326392672795,0.3458642625206026,0.169426469777548,
neutral_moonsun,0.2696427818468313,0.15,0.9712881175559742,0.06992483808243102,0.7384710220452311,0.3249509205459916,0.6989815591408721,0.15556370141509407,0.5766490073641872,0.21479301770772605,0.03844827134816873,
neutral_redblue,0.5630219047485536,0.65,0.9498789127790918,0.06823719526099727,0.6743356222034539,0.5320818009774083,0.7634060030661085,0.21014572611036217,0.6820030819593542,0.3067993825488491,0.04728865951693906,
no_steer,0.6601849449086463,0.95,0.9210778683240199,0.4826666992122752,0.7625750040372975,0.6320388546059671,0.7701583222801346,0.6224775375590516,0.7018962827627278,0.528047047435892,0.5228886799888925,
rank1_suggestive,0.3765575609953836,0.4,0.9879781545681254,0.04758062756601907,0.8100920370981557,0.42257107620656753,0.8492246021756029,0.42323657823468824,0.61777315242072,0.1471938430309559,0.06781259092416886,
sentence_localization,0.15561168783430343,0.05,0.9672946558930711,0.0315058294128218,0.584338828533283,0.24729353714580307,0.655119456569671,0.16561495558757627,0.30476524255475,0.05316753893732794,0.022150217863066042,
suggestive_yesno,0.9999991530944581,1.0,0.9999990955469562,0.9999972461784757,0.9999980548844056,0.9999980707057465,0.9999982195968916,0.9999979368617844,0.9999984341156244,0.9999968763450399,0.9999967563231413,
vague_v1,0.9991143503033457,1.0,0.9999854552244931,0.990370730849024,0.9999749980620593,0.9880896890388488,0.9921799000923412,0.9027609245476804,0.9999984437506332,0.9335426863095269,0.9987654142368658,
vague_v2,0.9366825008090911,0.95,0.9997677209499551,0.6413613848837294,0.9981133293190304,0.9819915161398655,0.9499693501803741,0.7415566344103591,0.9275010581179891,0.7467575669408988,0.7941459056171455,
vague_v3,0.9999999101020942,1.0,0.9999976162510604,0.9988098348801865,0.9999999871101094,0.9999998205076777,0.9999999643775661,0.9999999502804633,0.9999999700788561,0.999998380506055,0.9999988956059556,
